Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Region,Agent,Country,State or Province,City,Order Date,Ship Date,Profit,Quantity ordered new,Sales
High,0.01,2.84,0.93,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accentª Tank-Style Highlighters,0.54,West,William,United States,Washington,Anacortes,07/01/2015,08/01/2015,4.56,4,13.01
Not Specified,0.02,500.98,26,5,Ronnie Proctor,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troyª Executive Leather Low-Back Tilter,0.6,West,William,United States,California,San Gabriel,13/06/2015,15/06/2015,4390.37,12,6362.85
Critical,0.06,9.48,7.29,11,Marcus Dunlap,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",0.45,East,Erin,United States,New Jersey,Roselle,15/02/2015,17/02/2015,-53.81,22,211.15
Medium,0.09,78.69,19.99,14,Gwendolyn F Tyson,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Howard Miller 12-3/4 Diameter Accuwave DS ª Wall Clock,0.43,Central,Chris,United States,Minnesota,Prior Lake,12/05/2015,14/05/2015,803.47,16,1164.45
Medium,0.08,3.28,2.31,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 321,0.56,Central,Chris,United States,Minnesota,Prior Lake,12/05/2015,13/05/2015,-24.03,7,22.23
Medium,0.05,3.28,4.2,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 351,0.56,Central,Chris,United States,Minnesota,Prior Lake,12/05/2015,13/05/2015,-37.03,4,13.99
Medium,0.05,3.58,1.63,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,"OIC Colored Binder Clips, Assorted Sizes",0.36,Central,Chris,United States,Minnesota,Prior Lake,12/05/2015,13/05/2015,-0.71,4,14.26
Critical,0,4.42,4.99,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Grip Seal Envelopes,0.38,East,Erin,United States,New York,Smithtown,08/04/2015,09/04/2015,-59.82,7,33.47
Medium,0.01,35.94,6.66,15,Timothy Reese,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"Tyvek ¨ Top-Opening Peel & Seel ¨ Envelopes, Gray",0.4,East,Erin,United States,New York,Smithtown,28/05/2015,28/05/2015,261.88,10,379.53
High,0.04,2.98,1.58,16,Sarah Ramsey,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Gold Paper Clips,0.39,East,Erin,United States,New York,Syracuse,12/02/2015,15/02/2015,2.63,6,18.8
High,0.05,115.99,2.5,16,Sarah Ramsey,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7797,0.55,East,Erin,United States,New York,Syracuse,12/02/2015,14/02/2015,652.73,10,945.99
High,0.05,26.48,6.93,18,Laurie Hanna,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,West,William,United States,Montana,Helena,15/05/2015,16/05/2015,314.48,17,455.77
Not Specified,0.07,12.99,9.44,19,Jim Rodgers,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,West,William,United States,Montana,Missoula,21/05/2015,23/05/2015,-114.64,18,231.79
High,0.05,26.48,6.93,21,Tony Wilkins Winters,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,East,Erin,United States,New York,New York City,15/05/2015,16/05/2015,384.38,70,1876.69
Not Specified,0.08,5,3.39,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,0.37,East,Erin,United States,New York,New York City,21/05/2015,22/05/2015,-17.49,58,293.06
Not Specified,0.07,12.99,9.44,21,Tony Wilkins Winters,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,East,Erin,United States,New York,New York City,21/05/2015,23/05/2015,-114.64,71,914.29
